���authors,#formats,#genre,isbn,pubdate,title
Laurell K. Hamilton,,"Fantasy:Vampires, Fiction:Detective",9.78076E+12,2010-04-01T13:17:59-07:00,Blue Moon
Laurell K. Hamilton,,"Fantasy:Vampires, Fiction:Detective",9.78043E+12,2010-08-15T13:18:01-07:00,Bullet
Laurell K. Hamilton,,"Fantasy:Vampires, Fiction:Detective",9.78052E+12,2002-09-24T13:18:05-07:00,Burnt Offerings
Laurell K. Hamilton,,Romance:Paranormal,9.78035E+12,2010-08-15T13:29:48-07:00,Divine Misdemeanors
Deb Baker,,Mystery,9.78043E+12,2008-12-02T12:59:59-08:00,Ding Dong Dead
Deb Baker,,Mystery,9.78043E+12,2006-10-03T14:00:02-07:00,Dolled Up for Murder
Deb Baker,,Mystery,9.78043E+12,2008-03-04T13:00:06-08:00,Dolly Departed
Deb Baker,,Mystery,9.78043E+12,2007-09-04T13:59:57-07:00,Goodbye Dolly
Adam Haslett,,Fiction,9.78039E+12,2010-01-19T00:00:00-08:00,Union Atlantic
Craig Johnson,,Mystery,9.78067E+12,2008-09-18T00:00:00-07:00,The Cold Dish
Gerald Kolpan,,Fiction:Historical,9.78035E+12,2009-03-24T14:32:55-07:00,Etta
Mark Mills,,Mystery,9.78141E+12,2010-08-15T00:00:00-07:00,The Information Officer
Stephen King,,Fiction,9.78035E+12,2010-01-30T00:00:00-08:00,Black House
Stephen King,,Horror,9.78144E+12,2009-11-09T04:00:00-08:00,Under the Dome: A Novel
Wes Moore,,Autobiography,9.78159E+12,2010-08-15T14:35:43-07:00,"The Other Wes Moore: One Name, Two Fates"
Joe Torre & Tom Verducci,,"Autobiography, Sports",9.78077E+12,2010-02-02T13:38:14-08:00,The Yankee Years
Miranda Bliss,,Mystery,9.78043E+12,2006-11-06T22:00:00-08:00,Cooking Up Murder
Miranda Bliss,,Mystery,9.78043E+12,2007-12-04T13:44:09-08:00,Dead Men Don't Get the Munchies
Miranda Bliss,,Mystery,9.78043E+12,2008-12-01T22:00:00-08:00,Dying for Dinner
Miranda Bliss,,Mystery,9.78043E+12,2009-12-15T13:44:43-08:00,Murder Has a Sweet Tooth
Miranda Bliss,,Mystery,9.78043E+12,2007-03-05T00:00:00-08:00,Murder on the Menu
Diarmaid MacCulloch,,Religon,9.78067E+12,2010-02-17T21:00:00-08:00,Christianity: The First Three Thousand Years
Kevin Roose,,"Religon, Contemporary",9.78045E+12,2009-03-25T00:00:00-07:00,The Unlikely Disciple: A Sinner's Semester at America's Holiest University
A. J. Jacobs,,"Religon, Contemporary",9.78074E+12,2007-10-07T03:00:00-07:00,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible
Paul Johnson,,"Autobiography, History",9.78014E+12,2010-08-14T00:00:00-07:00,Churchill
Eoin Colfer,,Fiction:Young Adult,9.78079E+12,2008-03-10T03:00:00-07:00,Artemis Fowl: The Lost Colony
Eoin Colfer,,Fiction:Young Adult,9.78142E+12,2008-07-14T03:00:00-07:00,Artemis Fowl: The Time Paradox
Lisa Lillien,,food,9.78031E+12,2010-03-30T00:00:00-07:00,"Hungry Girl 1-2-3: The Easiest, Most Delicious, Guilt-Free Recipes on the Planet"
Agatha Christie,,Autobiography,9.7804E+12,1977-11-14T19:48:24-08:00,Agahta Christie: An Autobiography
Gary Shteyngart,,"Contemporary, Fiction",9.7814E+12,2010-07-26T21:00:00-07:00,Super Sad True Love Story: A Novel
Neil Gaiman,,Fantasy,9.78006E+12,2008-01-17T00:00:00-08:00,Smoke and Mirrors: Short Fictions and Illusions
Bret Easton Ellis,,"Contemporary, Fiction",9.78031E+12,2010-08-15T00:00:00-07:00,Imperial Bedrooms
Eoin Colfer,,Fiction:Young Adult,9.78014E+12,2010-08-15T00:00:00-07:00,Artemis Fowl and the Atlantis Complex
Charlaine Harris & Toni L. P. Kelner,,"Mystery, Fantasy:Vampires, Fiction:Detective",9.78044E+12,2010-09-15T02:59:08-07:00,Death's Excellent Vacation
John Steinbeck,,classics,9.78014E+12,2006-08-15T00:00:00-07:00,The Grapes of Wrath
Nicholas Pileggi,,"Autobiography, Contemporary",9.78067E+12,1987-08-15T00:00:00-07:00,Wiseguy: Life in a Mafia Family
Piers Anthony,,Fantasy,9.78038E+12,1990-02-01T00:00:00-08:00,For Love of Evil
Raymond E. Feist & Janny Wurts,,Science-Fiction,586074813,2008-11-28T21:00:00-08:00,Daughter of the Empire
Raymond E. Feist & Janny Wurts,,Science-Fiction,553292455,2008-11-28T21:00:00-08:00,Servant of the Empire
Raymond E. Feist & Janny Wurts,,Science-Fiction,586203796,2008-11-28T21:00:00-08:00,Mistress of the Empire
Raymond E. Feist,,Science-Fiction,380803240,2008-11-28T21:00:00-08:00,Talon of the Silver Hawk
Raymond E. Feist,,Science-Fiction,2246821,2008-11-28T21:00:00-08:00,King of Foxes
Raymond E. Feist,,Science-Fiction,2246872,2008-11-28T21:00:00-08:00,Exile's Return
Raymond E. Feist,,Science-Fiction,60792795,2008-11-28T21:00:00-08:00,Flight of the Nighthawks
Raymond E. Feist,,Science-Fiction,60792825,2008-11-28T02:00:00-08:00,Into a Dark Realm
Raymond E. Feist,,Science-Fiction,60792981,2008-11-28T21:00:00-08:00,Wrath of a Mad God
Raymond E. Feist,,Science-Fiction,9.78006E+12,2010-03-16T21:00:00-07:00,Rides a Dread Legion
Raymond E. Feist,,Science-Fiction,9.78006E+12,2010-03-23T21:00:00-07:00,At the Gates of Darkness
Raymond E. Feist,,Science-Fiction,553588117,2008-11-28T21:00:00-08:00,Prince of the Blood
Raymond E. Feist,,Science-Fiction,586203222,2008-11-28T21:00:00-08:00,The King's Buccaneer
Raymond E. Feist & William Forstchen,,Science-Fiction,6483887,2008-11-28T21:00:00-08:00,Honoured Enemy
Raymond E. Feist & Joel Rosenberg,,Science-Fiction,60792914,2008-11-28T02:00:00-08:00,Murder in LaMut
Raymond E. Feist & Steve Stirling,,Science-Fiction,2247224,2008-11-28T02:00:00-08:00,Jimmy the Hand
Raymond E. Feist,,Science-Fiction,6483348,2008-11-28T21:00:00-08:00,Krondor: The Betrayal
Raymond E. Feist,,Science-Fiction,380803232,2008-11-28T21:00:00-08:00,Krondor: The Assassins
Raymond E. Feist,,Science-Fiction,380978008,2008-11-28T21:00:00-08:00,Krondor: Tear of the Gods
Raymond E. Feist,,Science-Fiction,385196210,2008-11-29T04:00:00-08:00,Magician
Raymond E. Feist,,Science-Fiction,586064176,2008-11-28T21:00:00-08:00,Silverthorn
Raymond E. Feist,,Science-Fiction,553263285,2008-11-28T21:00:00-08:00,A Darkness at Sethanon
Raymond E. Feist,,Science-Fiction,688124089,2008-11-28T21:00:00-08:00,Shadow of a Dark Queen
Raymond E. Feist,,Science-Fiction,6497012,2008-11-28T21:00:00-08:00,Rise of a Merchant Prince
Raymond E. Feist,,Science-Fiction,380720884,2008-11-28T21:00:00-08:00,Rage of a Demon King
Raymond E. Feist,,Science-Fiction,380789833,2008-11-28T21:00:00-08:00,Shards of a Broken Crown
Margaret Weis & Tracy Hickman,,Fantasy,9.78079E+12,2002-01-31T00:00:00-08:00,Dragonlance: The Second Generation
Bruce Feiler,,"Autobiography, Contemporary",,2010-08-04T00:00:00-07:00,The Council of Dads
Margaret Weis & Tracy Hickman,,Fantasy,880386525,2008-12-03T02:00:00-08:00,Dragons of the Autumn Twilight
Margaret Weis & Tracy Hickman,,Fantasy,9.78039E+12,1985-01-14T22:54:11-08:00,Dragons of Winter Night
Margaret Weis & Tracy Hickman,,Fantasy,9.78083E+12,2000-02-14T22:54:29-08:00,Dragons of Spring Dawning
Margaret Weis & Tracy Hickman,,Fantasy,786918047,2008-12-16T21:00:00-08:00,Time of the Twins
Margaret Weis & Tracy Hickman,,Fantasy,786918055,2008-12-16T21:00:00-08:00,War of the Twins
Margaret Weis & Tracy Hickman,,Fantasy,786933887,2008-12-17T21:00:00-08:00,Test of the Twins
Piers Anthony,,Fantasy,765343126,2008-12-14T21:00:00-08:00,Stork Naked
Piers Anthony,,Fantasy,9.78077E+12,2008-09-29T21:00:00-07:00,Air Apparent
Piers Anthony,,Fantasy,9.78077E+12,2009-09-28T21:00:00-07:00,Two to the Fifth
Piers Anthony,,Fantasy,9.78077E+12,2009-10-12T21:00:00-07:00,Jumper Cable
Piers Anthony,,Fantasy,345335996,2008-12-06T21:00:00-08:00,A Spell for Chameleon
Piers Anthony,,Fantasy,345300742,2008-12-06T21:00:00-08:00,The Source of Magic
Piers Anthony,,Fantasy,345324358,2008-12-06T21:00:00-08:00,Castle Roogna
Piers Anthony,,Fantasy,345297709,2008-12-06T21:00:00-08:00,Centaur Aisle
Piers Anthony,,Fantasy,345335090,2008-12-06T21:00:00-08:00,"Ogre, Ogre"
Piers Anthony,,Fantasy,034530456X,2008-12-06T21:00:00-08:00,Night Mare
Piers Anthony,,Fantasy,345418557,2008-12-06T21:00:00-08:00,Dragon on a Pedestal
Piers Anthony,,Fantasy,356121011,2008-12-06T21:00:00-08:00,Crewel Lye: A Caustic Yarn
Piers Anthony,,Fantasy,345418573,2008-12-06T21:00:00-08:00,Golem in the Gears
Piers Anthony,,Fantasy,812574966,2008-12-06T21:00:00-08:00,Vale of the Vole
Piers Anthony,,Fantasy,812574982,2008-12-06T21:00:00-08:00,Heaven Cent
Piers Anthony,,Fantasy,812574974,2008-12-06T21:00:00-08:00,Man From Mundania
Piers Anthony,,Fantasy,380759470,2008-12-06T21:00:00-08:00,Isle of View
Piers Anthony,,Fantasy,380759489,2008-12-06T21:00:00-08:00,Question Quest
Piers Anthony,,Fantasy,688109160,2008-12-06T21:00:00-08:00,The Color of Her Panties
Piers Anthony,,Fantasy,450598918,2008-12-06T21:00:00-08:00,Demons Don't Dream
Piers Anthony,,Fantasy,785757228,2008-12-06T21:00:00-08:00,Harpy Thyme
Piers Anthony,,Fantasy,340622962,2008-12-06T21:00:00-08:00,Geis of the Gargoyle
Piers Anthony,,Fantasy,812534867,2008-12-06T21:00:00-08:00,Roc and a Hard Place
Piers Anthony,,Fantasy,812555104,2008-12-06T21:00:00-08:00,Yon Ill Wind
Piers Anthony,,Fantasy,812555112,2008-12-06T21:00:00-08:00,Faun and Games
Piers Anthony,,Fantasy,312866909,2008-12-06T21:00:00-08:00,Zombie Lover
Piers Anthony,,Fantasy,812555236,2008-12-06T21:00:00-08:00,Xone of Contention
Piers Anthony,,Fantasy,312869002,2008-12-06T21:00:00-08:00,The Dastard
Piers Anthony,,Fantasy,812574745,2008-12-06T21:00:00-08:00,Swell Foop
Piers Anthony,,Fantasy,312869045,2008-12-06T21:00:00-08:00,Up in a Heaval
Piers Anthony,,Fantasy,765343096,2008-12-06T21:00:00-08:00,Cube Route
Piers Anthony,,Fantasy,076534310X,2008-12-14T21:00:00-08:00,Currant Events
Piers Anthony,,Fantasy,765343118,2008-12-14T21:00:00-08:00,Pet Peeve
Matthew Parker,,History,9.78039E+12,2007-08-15T00:00:00-07:00,Panama Fever: The Epic Story of One of the Greatest Human Achievements of All Time--The Building of the Panama Canal
Anne Tyler,,"Contemporary, Fiction",9.78031E+12,2009-09-29T00:00:00-07:00,Noah's Compass
Seth Godin,,Self-Help,9.78159E+12,2010-08-15T01:58:58-07:00,Linchpin: Are You Indispensable?
Kitty Kelley,,"Autobiography, Contemporary",9.78031E+12,2010-08-15T01:59:00-07:00,Oprah: A Biography
Laura Bush,,"Politics, Contemporary",9.78144E+12,2010-08-15T01:59:13-07:00,Spoken From the Heart
Sarah Silverman,,Non-fiction:Humor,9.78006E+12,2010-03-17T01:59:18-07:00,"The Bedwetter: Stories of Courage, Redemption, and Pee"
Vicky Ward,,Non-fiction,9.78047E+12,2010-08-15T01:59:25-07:00,"The Devil's Casino: Friendship, Betrayal, and the High Stakes Games Played Inside Lehman Brothers"
Julie Orringer,,Fiction:Historical,9.7814E+12,2010-08-15T01:59:29-07:00,The Invisible Bridge
Tatjana Soli,,Fiction:Historical,9.78031E+12,2010-03-30T01:59:32-07:00,The Lotus Eaters: A Novel
Dan Simmons,,Horror,9.78038E+12,2003-08-15T11:54:37-07:00,A Winter Haunting
Robert R. McCammon,,Horror,9.78067E+12,1992-05-01T00:37:19-07:00,Boy's Life
Douglas Clegg,,Horror,9.78081E+12,2006-04-15T11:53:20-07:00,Breeder
William Gibson,,Science-Fiction,9.78044E+12,1987-08-15T11:51:34-07:00,Count Zero
Robert Craig,,Horror,9.78045E+12,1982-10-05T00:00:00-07:00,Creepers
Graham Masterton,,Horror,9.78084E+12,2009-04-06T11:50:00-07:00,Death Mask
Graham Masterton,,Horror,9.78081E+12,1986-09-01T11:50:03-07:00,Death Trance
Bryan Smith,,Horror,9.78084E+12,2009-09-29T11:50:07-07:00,Depraved
Robert R. McCammon,,Horror,9.78067E+12,1988-03-31T23:37:27-08:00,Stinger: Stinger
Dan Simmons,,Horror,9.78045E+12,1992-03-01T11:00:03-08:00,Summer of Night
Robert R. McCammon,,Horror,9.78067E+12,1987-06-01T00:37:30-07:00,Swan Song
John Crowley,,Fantasy,9.78042E+12,1982-07-07T23:46:36-07:00,Engine Summer
Tim Lebbon,,Horror,9.78084E+12,2004-08-15T11:46:42-07:00,Fears Unnamed
George R. R. Martin,,Fantasy:Vampires,9.78055E+12,2004-09-28T11:46:45-07:00,Fevre Dream
Fritz Leiber,,Fiction:Thriller,9.78143E+12,2008-01-31T23:27:54-08:00,"Gather, Darkness!"
Peter Straub,,Horror,9.78067E+12,1989-09-15T00:00:00-07:00,Ghost Story
Thomas Tryon,,Horror,9.78039E+12,1973-05-12T00:00:00-07:00,Harvest Home
Richard Matheson,,Horror,9.78031E+12,1999-08-15T00:00:00-07:00,Hell House
China Mi̩ville,,Fiction,9.78035E+12,2004-08-15T03:00:00-07:00,Iron Council
Roger Zelazny,,Science-Fiction,9.78006E+12,2004-04-29T00:00:00-07:00,Lord of Light
Robert R. McCammon,,Horror,9.78067E+12,1991-05-01T00:37:13-07:00,Mine
Michael Scott,,Fantasy,9.78039E+12,2008-06-24T00:00:00-07:00,The Alchemyst
Alfred Bester,,Science-Fiction,9.78068E+12,1996-08-15T11:49:47-07:00,The Demolished Man
Jeff Long,,Horror,9.78052E+12,2001-11-01T10:49:53-08:00,The Descent
Robert A. Heinlein,,Science-Fiction,9.78035E+12,1986-10-12T11:48:50-07:00,The Door Into Summer
Jonathan Maberry,,Horror,9.78031E+12,2010-08-15T11:48:55-07:00,The Dragon Factory
J. G. Ballard,,Science-Fiction,,2010-08-03T21:00:00-07:00,The Drowned World
F. Andrew Leslie & Shirley Jackson,,Horror,9.78082E+12,1964-08-15T01:00:00-07:00,The Haunting of Hill House: A Drama of Suspense in Three Acts
Clive Barker,,"Horror, Science-Fiction",9.78006E+12,2007-09-20T12:06:57-07:00,The Hellbound Heart
Richard Matheson,,Horror,9.78077E+12,2008-04-29T12:05:20-07:00,The Incredible Shrinking Man
Michael Scott,,Fantasy,9.78039E+12,2009-04-28T00:00:00-07:00,The Magician
Patrick Rothfuss,AZW3,Fantasy,9.78076E+12,2009-04-07T12:02:52-07:00,The Name of the Wind
Michael Scott,,Fantasy,9.78039E+12,2010-08-15T00:00:00-07:00,The Necromancer
Graham Masterton,,Horror,9.78075E+12,1992-04-23T00:00:00-07:00,The Pariah
David Brin,,Science-Fiction,9.78031E+12,2010-08-15T00:00:00-07:00,The Postman
Robert R. McCammon,,Fiction:Historical,9.7816E+12,2010-08-15T00:37:24-07:00,Mister Slaughter
William Gibson,,Science-Fiction,9.78055E+12,1989-08-15T12:02:44-07:00,Mona Lisa Overdrive
Robert R. McCammon,,Fiction,,2010-08-03T21:00:00-07:00,The Queen of Bedlam
Larry Correia,,Science-Fiction,9.78074E+12,2007-12-21T11:02:50-08:00,Monster Hunter International
China Mi̩ville,,Science-Fiction,9.78035E+12,2004-06-29T03:00:00-07:00,The Scar
Larry Correia,,Science-Fiction,9.78144E+12,2010-08-15T12:02:55-07:00,Monster Hunter Vendetta
Michael Scott,,Fantasy,9.78039E+12,2010-08-15T00:00:00-07:00,The Sorceress
Alfred Bester & Alex Eisenstein & Phyllis Eisenstein,,Science-Fiction,9.78068E+12,1996-07-02T12:00:06-07:00,The Stars My Destination
Jonathan Maberry,,Horror,9.78031E+12,2009-03-03T00:00:00-08:00,Patient Zero: A Joe Ledger Novel
Robert R. McCammon,,Horror,9.7816E+12,2010-11-29T23:37:09-08:00,The Wolf's Hour
China Mi̩ville,,Science-Fiction,9.78035E+12,2003-01-01T02:00:00-08:00,Perdido Street Station
Walter M. Miller,,Science-Fiction,9.78006E+12,2006-04-27T00:00:00-07:00,A Canticle for Leibowitz
Peter Straub,,Horror,9.78043E+12,2003-03-04T11:01:17-08:00,Shadowland
Richard Matheson,,Horror,9.78077E+12,2008-04-29T12:00:10-07:00,A Stir of Echoes
Robert R. McCammon,,Fiction:Historical,9.78074E+12,2003-08-26T00:37:17-07:00,Speaks the Nightbird: Judgment of the Witch
Robin Kaye,,Romance,9.7814E+12,2008-11-01T00:00:00-07:00,"Romeo, Romeo"
Robin Kaye,,Romance,9.7814E+12,2009-05-01T00:00:00-07:00,Too Hot to Handle
Robin Kaye,,Romance,9.7814E+12,2009-12-15T00:00:00-08:00,Breakfast in Bed
Julie James,,Romance,9.78043E+12,2008-10-07T00:00:00-07:00,Just the Sexiest Man Alive
Julie James,,Romance,9.78043E+12,2009-03-03T00:00:00-08:00,Practice Makes Perfect
Julie James,,Romance,9.78043E+12,2010-03-02T00:00:00-08:00,Something About You
Kristan Higgins,,Romance,9.78037E+12,2010-02-01T11:56:42-08:00,The Next Best Thing
Kristan Higgins,,Romance,9.78037E+12,2010-05-01T00:00:00-07:00,Catch of the Day
Kristan Higgins,,Romance,9.78037E+12,2010-08-15T00:00:00-07:00,Just One of the Guys
Kristan Higgins,,Romance,9.78037E+12,2010-01-01T00:00:00-08:00,Too Good to Be True
Rachel Gibson,,Romance,9.78006E+12,2007-04-26T00:00:00-07:00,I'm in No Mood for Love
Rachel Gibson,,Romance,9.78076E+12,2007-08-09T00:00:00-07:00,It Must Be Love
Rachel Gibson,,Romance,9.78038E+12,2002-03-13T23:00:00-08:00,Lola Carlyle Reveals All
Rachel Gibson,,Romance,9.78006E+12,2010-08-15T00:00:00-07:00,Nothing but Trouble
Guy Gavriel Kay,,Fantasy,9.78045E+12,2001-06-11T22:29:03-07:00,The Darkest Road
Guy Gavriel Kay,,Fantasy,9.78045E+12,2001-04-09T22:29:06-07:00,The Summer Tree
Guy Gavriel Kay,,Fantasy,9.78045E+12,2001-05-07T22:29:10-07:00,The Wandering Fire
Neil Gaiman & Terry Pratchett,,"Fantasy, Fiction:Humor",9.78006E+12,2006-08-14T03:00:00-07:00,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
Shirley Damsgaard,,Mystery,9.78006E+12,2006-03-08T21:37:45-08:00,Charmed to Death: An Ophelia and Abby Mystery
Shirley Damsgaard,,Mystery,9.78006E+12,2010-01-25T21:37:47-08:00,The Seventh Witch
Shirley Damsgaard,,Mystery,9.78006E+12,2006-08-09T22:37:49-07:00,The Trouble With Witches: An Ophelia and Abby Mystery
Shirley Damsgaard,,Mystery,9.78006E+12,2007-08-08T22:37:52-07:00,The Witch Is Dead
Shirley Damsgaard,,Mystery,9.78006E+12,2009-08-14T22:37:55-07:00,The Witch's Grave: An Ophelia and Abby Mystery
Shirley Damsgaard,,Mystery,9.78006E+12,2007-05-09T22:37:58-07:00,Witch Hunt: An Ophelia and Abby Mystery
Shirley Damsgaard,,Mystery,9.78006E+12,2005-08-10T22:38:02-07:00,Witch Way to Murder: An Ophelia and Abby Mystery
Scott Lynch,,Fantasy,9.78055E+12,2007-06-25T22:45:08-07:00,The Lies of Locke Lamora
Steve Stern,,Fantasy,9.78157E+12,2010-08-14T22:50:55-07:00,The Frozen Rabbi
Walter Kirn,,"Contemporary, Fiction",9.78039E+12,2002-09-24T00:00:00-07:00,Up in the Air
Ben Sherwood,,Fiction,9.78055E+12,2010-08-15T00:00:00-07:00,Charlie St. Cloud
John Verdon,,"Mystery, Contemporary",9.78031E+12,2010-08-14T22:51:00-07:00,Think of a Number
J. P. Donleavy & Jay McInerney,,Fiction:Humor,9.7808E+12,2010-08-15T00:00:00-07:00,The Ginger Man
Steve Jones,,Science,9.78035E+12,2010-03-31T23:01:35-07:00,Darwin's Island: The Galapagos in the Garden of England
Vasily Grossman & Antony Beevor & Luba Vinogradova,,History,9.78068E+12,2007-03-12T23:01:39-07:00,A Writer at War: Vasily Grossman With the Red Army
Patrick Robinson,,Fiction:Thriller,9.78159E+12,2009-04-14T00:00:00-07:00,To the Death
Jim Thompson,,Mystery,9.78068E+12,1994-08-15T16:21:39-07:00,South of Heaven
Jim Thompson,,Mystery,9.78068E+12,1994-10-04T16:21:53-07:00,Texas by the Tail
Jim Thompson,,Mystery,9.78068E+12,1993-08-15T16:22:05-07:00,The Alcoholics
Jim Thompson,,Mystery,9.78068E+12,1993-08-15T16:22:16-07:00,The Criminal
Jim Thompson,,Mystery,9.78038E+12,1999-06-01T16:22:25-07:00,The Kill-Off
Jim Thompson,,Mystery,9.78038E+12,1999-06-01T16:22:38-07:00,The Rip-Off
Jim Thompson,,Mystery,9.78881E+12,2001-08-15T00:00:00-07:00,Bad Boy
Jim Thompson,,Mystery,9.78068E+12,1992-03-03T15:23:05-08:00,Cropper's Cabin
Paul Murray,,Fiction:Humor,9.78087E+12,2010-08-15T00:00:00-07:00,Skippy Dies: A Novel
D. H. Lawrence,,classics,9.78055E+12,2007-08-15T00:00:00-07:00,Lady Chatterley's Lover
Gustave Flaubert,,classics,9.78141E+12,2010-08-06T00:00:00-07:00,Madame Bovary
Franz Kafka & Jason Baker & Donna Freed,,classics,9.78159E+12,2003-08-15T00:00:00-07:00,The Metamorphosis and Other Stories
Daniel Defoe & Virginia Woolf,,classics,9.78038E+12,2002-08-15T00:00:00-07:00,Moll Flanders
D. H. Lawrence & Victoria Blake,,classics,9.78159E+12,2003-05-01T00:00:00-07:00,Sons and Lovers
Upton Sinclair,,classics,9.78159E+12,2004-09-20T00:00:00-07:00,The Jungle
D. H. Lawrence,,classics,9.78159E+12,2010-08-06T00:00:00-07:00,Women in Love
Voltaire,,"Philosophy, classics",9.78159E+12,2003-06-01T00:00:00-07:00,"Candide, Or, Optimism"
Glen Cook,,Fantasy,9.78081E+12,1992-08-15T00:00:00-07:00,The Black Company
Glen Cook,,Fantasy,9.78081E+12,1990-04-07T00:00:00-07:00,Shadows Linger
Glen Cook,,Fantasy,9.78081E+12,1990-08-15T00:00:00-07:00,The White Rose: A Novel of the Black Company
Glen Cook,,Fantasy,9.78081E+12,1989-08-14T00:00:00-07:00,The Silver Spike
Glen Cook,,Fantasy,9.78081E+12,1989-06-14T00:00:00-07:00,Shadow Games: The Fourth Chronicles of the Black Company: First Book of the South
Glen Cook,,Fantasy,9.78081E+12,1997-08-14T00:00:00-07:00,Bleak Seasons
Glen Cook,,Fantasy,9.78081E+12,1998-05-27T00:00:00-07:00,She Is the Darkness
Glen Cook,,Fantasy,9.78081E+12,2000-03-01T00:00:00-08:00,Water Sleeps
Glen Cook,,Fantasy,9.78081E+12,2001-04-29T00:00:00-07:00,Soldiers Live
Glen Cook,,Fantasy,9.78081E+12,1990-04-08T00:00:00-07:00,Dreams of Steel
Glen Cook,,Fantasy,9.78045E+12,1985-08-15T00:00:00-07:00,Doomstalker
Glen Cook,,Fantasy,9.78045E+12,1986-02-14T00:00:00-08:00,Ceremony
Glen Cook,,Fantasy,9.78045E+12,1989-06-05T00:00:00-07:00,Old Tin Sorrows
Glen Cook,,Fantasy,9.78045E+12,2007-04-30T00:00:00-07:00,Bitter Gold Hearts
Glen Cook,,Fantasy,9.78077E+12,2006-10-29T23:00:00-08:00,The Tyranny of the Night
Glen Cook,,Fantasy,9.78077E+12,2008-01-01T00:00:00-08:00,Lord of the Silent Kingdom
Glen Cook,,Fantasy,9.7816E+12,2009-03-14T00:00:00-07:00,The Swordbearer
Glen Cook,,Fantasy,9.78045E+12,1991-09-16T00:00:00-07:00,Red Iron Nights
Glen Cook,,Fantasy,9.78045E+12,1985-10-14T00:00:00-07:00,Warlock
Glen Cook,,Fantasy,9.78045E+12,2007-03-05T20:54:06-08:00,Sweet Silver Blues
Glen Cook,,Fantasy,9.78045E+12,1988-08-14T21:54:14-07:00,Cold Copper Tears
Glen Cook,,Fantasy,9.78045E+12,1994-02-15T20:54:23-08:00,Deadly Quicksilver Lies
Glen Cook,,Fantasy,9.78045E+12,1995-10-31T20:54:32-08:00,Petty Pewter Gods
Glen Cook,,Fantasy,9.7816E+12,2010-08-14T21:54:42-07:00,Shadowline
Glen Cook,,Fantasy,,1982-08-15T00:00:00-07:00,Starfishers: The Starfishers Trilogy
Kelley Armstrong,,Fantasy,9.78006E+12,2009-05-11T10:30:09-07:00,The Awakening
Kelley Armstrong,,Fantasy,9.78191E+12,2011-03-02T21:00:00-08:00,The Reckoning
Kelley Armstrong,,Fantasy,9.78039E+12,2008-06-30T01:00:00-07:00,The Summoning
Glen Cook,,Fantasy,9.78045E+12,1999-05-27T00:29:42-07:00,Faded Steel Heat
Glen Cook,,Fantasy,9.78045E+12,2002-04-01T23:29:49-08:00,Angry Lead Skies
Glen Cook,,Fantasy,9.78045E+12,2005-05-03T00:30:02-07:00,"Whispering Nickel Idols: A Garrett, P.I. Novel"
Glen Cook,,Fantasy,9.78045E+12,2008-05-06T00:30:14-07:00,Cruel Zinc Melodies
Glen Cook,,Fantasy,9.78045E+12,1982-07-15T00:30:21-07:00,Stars End
Kelley St. John,,Romance,9.78045E+12,2005-11-30T21:00:00-08:00,Good Girls Don't
Keith Thomson,,Fiction:Thriller,9.78039E+12,2010-03-08T21:00:00-08:00,Once a Spy
Kelley Armstrong,,Fiction:Detective,9.78077E+12,2009-04-27T13:37:33-07:00,Exit Strategy
Kelley Armstrong,,Fantasy,9.78184E+12,2010-08-15T00:00:00-07:00,Waking the Witch
Kelley Armstrong,,Fiction:Detective,9.78055E+12,2009-02-24T00:00:00-08:00,Made to Be Broken
Alex Scarrow,,Fiction:Thriller,9.78141E+12,2010-08-15T00:00:00-07:00,Afterlight
Alex Scarrow,,Fiction:Thriller,9.78075E+12,2009-09-01T00:00:00-07:00,Last Light
Alex Scarrow,,Fiction:Thriller,9.78141E+12,2010-08-15T00:00:00-07:00,A Thousand Suns
Carol Goodman,,"Mystery, Contemporary",9.78035E+12,2010-08-15T00:00:00-07:00,Arcadia Falls
Alex Scarrow,,Fiction:Thriller,9.78075E+12,2009-10-01T00:00:00-07:00,October Skies
Gary Gibson,,Science-Fiction,9.78023E+12,2009-09-03T21:00:00-07:00,Nova War
Gary Gibson,,Science-Fiction,9.78023E+12,2010-07-01T21:00:00-07:00,Empire of Light
Gary Gibson,,Science-Fiction,9.78033E+12,2008-06-30T21:00:00-07:00,Stealing Light
Kelley Armstrong,,Fantasy,9.78055E+12,2009-04-24T14:25:14-07:00,Haunted
Kelley Armstrong,,Fantasy,9.78055E+12,2009-04-24T14:25:15-07:00,Broken
Kelley Armstrong,,Fantasy,9.78055E+12,2009-04-24T14:25:15-07:00,No Humans Involved
Kelley Armstrong,,Fantasy,9.78055E+12,2009-04-24T14:25:15-07:00,Personal Demon
Kelley Armstrong,,Fantasy,9.78055E+12,2009-08-25T00:00:00-07:00,Living With the Dead
Kelley Armstrong,,Fantasy,9.78055E+12,2009-04-26T22:08:54-07:00,Men of the Otherworld
Kelley Armstrong,,Fantasy,9.78045E+12,2009-04-24T14:25:12-07:00,Bitten
Kelley Armstrong,,Fantasy,9.78067E+12,2009-04-24T14:25:13-07:00,Stolen
Kelley Armstrong,,Fantasy,9.78055E+12,2009-04-24T14:25:13-07:00,Women of the Otherworld
